tweet,label
"Big inning for the White Sox. That error by Alexei Ramirez that allowed a run to score in the top of 8th weighing heavily right now. 
",positive
"10/17 is today right? Yall know that means it's my boy Liam's 2nd birthday. Gotta blast the Bricksquad music for young BRICKSQUAD. 
",positive
"""If Yakub hangs, it would prove Tiger Memon right. Pakistan's ISI will have the last laugh. 
",negative
"25 yrs ago\u002c Blessed Pope John Paul II visited the Archdiocese of Detroit-- the 1st papal visit to MI in history. 
",positive
"I still have to memorize the 5th paragraph of Obama's speech tho 
",neutral
"Man I hope she doesn't Frank Ocean us  
",neutral
"@ivazquez I feel it is 2nd rate. Mansbridge doesn't point out when Harper's not answering the question. Debaters would do that. 
",negative
"""I just sat through Kanye West's MTV speech, what the fuck was that..."" 
",negative
""".@FGaryGray interesting metatextual touch with Ice Cube's son delivering the """"Bye Felicia"""" line from Friday to the girl at the party in SOC."" 
",positive
"yall i got my ipod taken in 3rd period because i forgot to turn my volume down and i got a notif about army selca day 
",negative
"@codywagner what do you think\u002c dynasty league\u002c Trent Richardson and my 2nd and 3rd round picks\u002c for Ridley and two 1st rounders? 
",neutral
"@christopherhester this may be the stupidest season of Big Brother yet.  Everyone can see what's going to happen! No one has balls! #makeamove 
",negative
"Tomorrow I am going to enjoy every second from the concert because I really have no idea when I am seeing The Vamps again 
",positive
"@johnsonjacqueline @johnsonjacqueline @johnsonjacqueline Their release should have been demanded before Kerry ever sat down at the table. 
",neutral
"Done Reading: 4 Aug' 2015 Rate: 5/5 star Review: check it out on goodreads and google+ #bibliophile #book 
",positive
"Tomorrow @ 5pm in GSC buy tickets to Ed Sheeran in concert at Riverbend on 9/17. Tickets are $20 cash. See you there! 
",positive
"""Two cans of Red Bull may give you x-ray vision, but five cans give you the ability to hear oxygen."" 
",positive
"Watching the #49ers game from Sunday night and I see why Cliff Avril was throwing fits. He was getting his butt kicked all night 
",negative
"If Volstead went against #Braves on a Monday\u002c he\u2019d give up 5 runs in first\u002c then cubs make a furious rally late to win #twostreaks 
",negative
"""I'm going to Threshold at Celebr8.2 Festival in Kingston Upon Thames, United Kingdom - May 11 
",neutral
"the most important thing madonna has ever said is "" don't go for 2nd best "" 
",positive
"""You may not know it, but Carly Fiorina can gush over Islam darn near as good as Obama. 
",positive
"""For the holiday season, the gallery will close from 24 Dec and reopen on 4 Jan in London and 6 Jan in Milan 
",neutral
"Feel sorry for anyone going to the Justin Beiber concert tomorrow\u002c they\u2019re missing out on one of the best games of the night 
",negative
"goodnight I know it's super early and I'm missing Shawn's performance but I have a huge test tomorrow and I need sleep ok Shawn loves you 
",positive
"1st free.edom taken away.  cant buy your size of soft drinks.  2nd.Religious freedom for Catholics. next? Obama...coming for you 
",negative
"""SBS K-Pop Super Concert on Nov 10th in the United States, with SNSD, 2NE1, T-ara, BEAST, CNBLUE, KARA, SISTAR cr tiarafact"" 
",neutral
"Apple's Tim Cook has just taken to the stage promising some mega announcements - even skipping the regular updates: 
",positive
"@avilacarol @avilacarol @avilacarol @avilacarol I\u2019d watch Cougar Town over this any day! January 8 on TBS. Very funny. #firedooley 
",positive
"The #SacredHeartsAcademy Gala is on Friday evening!   Read about the Distinguished Alumnae: 
",positive
"I just saw a 3rd grader talking on her I phone 6... Wtf is wrong with this world. I would be lucky to have a Nokia in 3rd grade... 
",negative
"Relatives of the 200 Nigerian schoolgirls kidnapped by Boko Haram will hold a march &amp; candle-lit vigil to mark 500 days since the abductions 
",positive
"Forward Chris Maguire has claimed the team spirit at Sheffield Wednesday is the best he has ever known it. #swfc #theowls #wawaw 
",positive
"@kcarney this was on PS4 so it may be different on xbone. I can't even play lol 
",negative
"yo don't ever say that! god forbid! may it not happen! Zayn is cool...don't even try to compare them...i love zaynnn 
",neutral
"The Tigers may be calling up Matt Boyd: He's pitcher number two they received in the David Price deal.  
",positive
"Annual season kick-off with FENNARIO - New England's tribute to the Grateful Dead - Saturday, Aug 29th - Doors at 8pm 
",positive
"""RT @vincentjoseph I can't wait to read all the tweets from all of the girls bitching about being single tomorrow! #myfavorite 
",negative
"Gregg Williams may never find a job in the NFL again if he\u2019s allowed back. Snitchin will make your situation worse! 
",negative
"Chris Evans just said excactly what I was thinking about Saturday Kitchen 'I don't care about this show anymore' 
",negative
"guysss is it true that selena's album is gonna be released on november 24th omggg 
",positive
"""Microsoft wasted my whole day today... But now I'm on Win 7 SP1 v69sq with rockets on it. MAKE IT SIMPLE MICROSOFT!  Also, I'm buying a Mac."" 
",negative
"I don't have the money for this NINTENDO STOP IT 
",negative
"Kris Bryant may be one of my favorite ball players all-time when it's said and done. 
",positive
"""The \""""Sneak peek\"""" of The Hunger Games last night on the VMA's was ridiculous! I am soo mad I watched E4w4FL"" 
",negative
"Family time then I'm going to fire up the stream! Either more SOMA or I may jump on the hype train and give Dark Souls a go! 930pm tonight! 
",positive
"Wheww I leave Ohio June 3rd I don't even want to think about leaving 
",negative
"Rick Perry said he was the Zar of stopping illegals sat there and glossed himself for 2 months how he could secure the border not 1 idea11 m 
",negative
"If my stomach still feels funny tomorrow\u002c I\u2019m going to punch one\u002c or possibly all\u002c of the Jordan kids right in the kidneys. 
",negative
"Rousey's need for speed: NASCAR drivers may know a little something about a need for speed. ESPN even ... #NASCAR 
",neutral
"Frank ocean must be going through some shit 
",negative
"Fail: Philly Daily News with the 2nd worse possible Frank Gifford death photo v 
",negative
"@vcollins @vcollins I think the Red Sox may be more popular around that region as well. Have many more fans nationally than Pats 
",neutral
"the only thing I looked forward to at WWA was c'mon c'mon 
",positive
"#InternationalDirectionerDay It's obv. Directioners Day is on 23rd of July.. Directionators are just jerks! 
",negative
"@johnsonshari c'mon bruh, you watch Chelsea every week you aren't actually gonna tell me that Oscar works harder due to tackles are you? 
",negative
"Amazon Prime fucks me off so much, like you get really into something and then after like the 3rd season you have to pay. FUCK OFF. 
",negative
"@mharris I'm taking my uncle to LAX tomorrow and can't decide if I want to go there or Dunkin Donuts after I trip him off lol. 
",neutral
"@jeffreyharris #Jets get Big Ben off the field on 3rd down I\u2019m convinced we win. Everything changes. I\u2019m depressed now @jeffreyharris @jeffreyharris 
",negative
"I always thought Prince was the 18th best songwriter of all time but it's nice of Rolling Stone to confirm that. 
",positive
"One last Sunday night without Game of Thrones... Thank the Gods. 
",positive
"RT @fmiller #rungeordierun Should be given a HEROS welcome at the Arsenal game on Saturday.@nufcfans @fmiller 
",positive
"@rachaelthomas u can imagine what may happen if they allow the enemies to enter Madinah. Plus, they broke the covenant they had with Muslims"" 
",negative
"@parkelizabeth @parkelizabeth ur fact: Milan hv a good squad and in the real world fact: Milan is 8th Placer hehe 
",positive
"Why Muslims always fighting with Muslims....shameful history of Muslims....except prophet time to 4 Khlifah 
",negative
"Conor McGregor is the real deal. Stop ducking him Aldo you pussy. Today, I celebrate my half Irishness by getting pissed. Happy Sunday all! 
",positive
"Lol!! I forgot all about that Mariah Carey concert! And ps: he was waving at me!!!  
",positive
"but rest assures I am watching Degrassi\u002c and loving it may i add. (; 
",positive
"Im mind blown after watching Magic Mike XXL for the 1st time 
",positive
"Jason Aldean&amp;Kenny Chesney tickets for sale. Concert is the 29th. Good seats for a really good price. Text me asap for more info!! 
",positive
"@tsanchez @tsanchez Yahweh willing, may all the Jews of the world reunite in Israel and find their stay. Jewry migration today."" 
",positive
"Erdogan comments on recent escalation of violence: Our public will (punish) some people for it on (elex day) Nov. 1 
",negative
"@utaylor I guess you considered that 9th inning vs the Red Sox on Friday a comeback as well 
",neutral
"@ann54 @ann54 If it weren't for Blair there would have been no Good Friday Agreement, and the IRA would have won!"" 
",neutral
"Ask me about the Food expo- Abj food festival at the eagle square abuja 7th- 9th dec '12. Rock bottom prices on food for the festive season! 
",positive
"""Top 5 Pgs Rondo, Rose , Deron, Paul, ???....don't kno the 5th"" 
",negative
"@michaelcox don't you guys know android has the same thing on some of theirs and the Apple Watch is the 2nd most sold watch so... 
",neutral
"Sitting at home on a Saturday night doing absolutely nothing... Guess I\u2019ll just watch Greys Anatomy all night. #lonerproblems #greysanatomy 
",negative
"@alexandriamcguire yea I went to the one at MetLife on August 5th #OTRAMETLIFE 
",neutral
"@leenatalie @leenatalie @leenatalie I so agree! You did awesome, Curtis :) I may hate Metatron, but I don't hate you. YOU ROCK!"" 
",positive
"Having the NY Marathon on Sunday is like having a parade in Raccoon city right after the T-Virus went airborne. 
",negative
"If I'm Dustin Johnson I wouldn't care about my Sunday meltdowns going home to Paulina. #sheesh 
",negative
"FOX NEWS screwed Rick Perry. NBC/WSJ poll left out by FOX so John Kasich would get the 10th spot in the debate. FOX NEWS? NO! FOX CROOKS! 
",negative
"What's stopping Jay-Z, Puffy, 50 Cent, Lil Wayne from doing the same if they haven't already? @ksnyder  
",negative
"""Paul McCartney, that guy from the Rihanna video, plays Toronto for the first time in five years.  
",neutral
"UDLP in the 4th round of the cup. Bring on Barca. 
",positive
"""Kevin Sullivan talks about nWo ceding power to Hulk Hogan, Greg Valentine accidentally knocking himself out and more! 
",positive
"Nintendo may consider removing region locking with next console - Game Politics #io9.com 
",neutral
"@jennifer47 I just read your diagnosis on Pistorius back from July 3. I searched google for """"""""pistorius psychopath"""""""" because I see his pic"" 
",neutral
"Caitlyn Jenner is accused of manslaughter in a crash during the Bruce era. Police may call it off after trouble locating a Bruce Jenner. 
",negative
"""NYC baseball fans upgrade hot dogs to avodogs: In celebration of National Hot Dog Day on July 23, the Peruvian... 
",positive
"@kelly35 this is absolutely ridiculous. Wasn't it just """"national ice cream day"""" on Sunday? Who makes up these days? This isn't official. This is"" 
",neutral
"Tom Brady was our #7 QB before the news of his suspension being lifted.. We now have him up in front of C. Newton.   Proj: 5th rd pick 
",neutral
"In Dunkin today I saw 4 elderly men trying to take a selfie and it may have been the cutest thing I've witnessed in my entire life 
",positive
"YES!! Allowed to go to the @pittsmaureen concert in Oslo in May!! :D now all I need is to get those tickets... 
",positive
"Smooches from Fido: Yea or Nay? - July 6th was International Kissing Day (of the human sort). Later in the month\u002c Ca... 
",neutral
"My Sunday nights haven\u2019t been the same since @lisa35 has been gone from Breakout Kings. I wonder what he\u2019s doing next? Can\u2019t wait 2 c! 
",positive
"@stephaniecollins going to Florida with the fam, I'ma be back Tuesday tho. don't trash the room up too much! lol."" 
",positive
"#hamont Council of Can chair Maude Barlow hits road to speak on protecting the Great Lakes; 8-city tour will see her in Ham May 16 
",neutral
"8 yrs since Harry Potter and the Deathly Hallows came out and Prince George's 2nd Birthday is today #HarryPotter #HappyBirthdayPrinceGeorge 
",positive
"Just listening to whitney houston, celin dione and mariah carey.... just a perfect sunday,, true talent there ladies and gents 
",positive
"""Triple H was never Ric Flair's bitch...this Sunday I'm gonna make you mine!!!""  - John Cena #Raw #TitleforTitle #JohnCena  #Truth 
",positive
"@stokesdiana in similarly shocking news, the sun is hot and the Pope is Catholic. Can't believe there is anyone who trusts this woman. 
",negative
"""I just liked this song """"And The Sun Will Shine"""" by Bee Gees 
",positive
"Surprising my mom with AC/DC tickets for Wednesday. Just going to show up 
",positive
"@robert91 @robert91 the poor things are so jaded!  Nobody cares about gags, Madonna is going to shit on her premiere tomorrow! 
",negative
"First time I've been called off in a while and couldn't ask for a better day to have off. Plus Jason Aldean is tomorrow! 
",positive
"@olsensharon come party with us tomorrow night in Naples Maine at Ricks cafe!! 
",neutral
"You\u2019re going to breath the same air as Song Joongki tomorrow @aaronhart grrrr 
",neutral
"""RT @hernandezandrea Hello there, I here that the stinking working class,were rioting in London last night, do you see why I'm in Italy, blo ..."" 
",negative
"Don\u2019t forget that the amazing Georgie Fame is bringing his smooth style Rhythm & Blues and his famous Hammond organ to @vstone 14 Nov 
",positive
"Peter did you miss this? #TREND Runako Morton 
",neutral
"@usparks in the words of Dr. King\u002c \""""I may not get there with you\u002c but I want you to know we as a people will get there\"""""" 
",positive
"Last night may have been my last Digi concert for a while. But I had an amazing night. Thank you for everything Digi. @jennifer41 
",positive
"Lovely meal with the fam #yumyum Day four at #OpenChampionship tomorrow come on Harris English 
",positive
"I can\u2019t forgive Farrackhan for the Malcolm X thing. And ninjas ain\u2019t done sht since the million ninjas march...name one thing.where the$ 
",negative
"People are researching the Wolf crash to try and make SC racing safer. If anyone found his GoPro contact Me or Brian Sperry. It may help. 
",negative
"Himawari not even old enough for the academy took out Naruto with a finger who took on kaguya (a god) &amp; Sarada is on par w/ 4th War Sakura 
",neutral
"""So unfortunately, it's all really bad timing rn, so I can't go to the Ed Sheeran concert tomorrow, but if anybody wants floor seats...."" 
",negative
"he may not be an idol but he is the reason why I'm into kpop 
",positive
"""I'm pisseeedddd that I missed Kid Cudi's show in Dallas, it was trending worldwide that night, &all Im hearing is positive reviews of lolla"" 
",negative
"""Boko Haram member Mahamat Moustapha, a Nigerian, alleged to have been the mastermind of the June suicide attack in... 
",negative
"Tina Fey and Amy Poehler will host the Golden Globe Awards: In what may be the smartest thing the Hollywood Fore... 
",positive
"me: * listens to drive-in saturday six times in a row with little to no regret *   i am so alive rn bless david bowie 
",positive
"You may be tempted to swim with this new waterproof Apple Watch case #apple 
",positive
"I\u2019m ready to defend the 3 stars & a sun! Happy birthday sir Francis M!  
",positive
"Tomorrow is definitely gonna be a calm\u002c casimir pulaski day #greatkickoff #goodnight 
",positive
"@phicks @phicks @phicks think U2 should stay well out of Ireland 4 a long time = talking about Bloody Sunday as been about the IRA 
",negative
"Festival girl: I definitely want to see at least the end of Paul McCartney tonight! Her friend: OMG yes.  Paul played on Friday... 
",positive
"""Ok sir RT @bradyelizabeth Nigeria will still top the group.If we lose,we'll be 2nd & face Brazil. (cont) 
",positive
"I just want it to be tomorrow.. but till then ALL THE RAMEN AND NARUTO! #believeit 
",positive
"@jasonclark dustin johnson is a thursday fri player when the weekend comes and he has to handle the pressure he folds up like a lawnchair 
",neutral
"May I be the first to remind you: Daylight Saving Time ends this weekend. Set clocks back at 2AM Sunday 
",neutral
"it\u2019s either UA or AU for grad school. As much as I love Alabama\u002c I\u2019m thinking Auburn may be the better choice for me. 
",positive
"Hurry up Minneapolis Janet Jackson unbreakable tour tickets just a few left hurry up . MINNEAPOLIS November first 
",positive
"""Seth Rollins sucks, think he should be reprimanded for what he did last Monday night!"" 
",negative
"S/O to my best friend J Norm dedicating Juicy by Biggie Smalls to my 21st in the club. That's a FINE end to the night! 
",positive
"Music is on shuffle but this is the 4th Fleetwood Mac song in a row what is my phone trying to tell me 
",positive
"I just want tomorrow to be here so I can see Jurassic World again 
",neutral
"Those of you with iOS devices, ask Siri to ""give you a hint"" about tomorrow's Apple keynote. 
",positive
"Hidind the scars from all the kids at the OGT's tomorrow will be hard.. *sigh* :'( 
",negative
"wow, angela merkel tells sobbing asylum seeker why she cannot stay in germany (VIDEO): 
",negative
"Samajwadi Party may patch up with Trinamool Congress: SP sources affirm that party chief Mulayam Singh Yadav is likely to patch up wi... 
",positive
"@nguyensharon forget the yankees.. Brock Lesnar in the ring on Monday night RAW! 6 days to summer slam! 
",positive
"If Bernie Sanders gets elected he'll create 2nd depression by high taxes, outsource jobs,small businesses collapsing 
",negative
"""Market meltdown on the SPX is likely a 3rd wave, nice try to stop the crash, but they cant stop it now (well dont look like it)"" 
",negative
"""UK Home Sec Theresa May, a MoU with Saudi Arabia and why global condemnation of human rights record won't happen  
",negative
"Let's see what shitty movie Netflix has recommended for me to watch tonight. 
",negative
"@alfred47 I hope next eid will be better than this one for u...prayers for ur mom and grandmom..may Allah bless them and give you peace.. 
",positive
"@williamschristopher If Escobar was hurt I would hope you would be calling for Thor's suspension. If KC throws up tomorrow, you should have no prob"" 
",negative
"David Price is the fastest #bluejays' pitcher to reach 50Ks with the team. He accomplished the feat tonight in his 6th #jays' start. 
",positive
"""Hey, can you set up Apple TV so I can watch Harry Potter while I get fucked up?"" --ladies and gentlemen, may I introduce you to my roomies! 
",negative
"Making plans with my friends is like Ice Cube trying to get another Friday done. 
",neutral
"""If you're collecting your GCSE results tomorrow and tou watch anime, there's a new episode of Naruto out tomorrow x"" 
",positive
"""Watching Michael Ball's performance of Empty Chairs At Empty Tables in the 10th anniv, and hit with SUDDEN EXTREME FEELS OGOD PERFECTION"" 
",positive
"@traviswoodard @traviswoodard marvi u better apologize to every Pakistani nd Muslims over ur non sense talk in 11th Hour or prepare 4 the Hell 
",negative
"Hey @robert32 how about august electric scream screening of magic mike xxl?? Mamas def want to see some dancing and comedy! 
",positive
"""I'm watching the movie Friday, on a Friday and I'm going to see Ice Cube next Friday 
",positive
"Last night I had a dream that I was over at Beyonce's house &amp; we sat around drinking tea w/ Jay Z &amp; talked about Disney movies like ok 
",positive
"""As she receives her 9th #GoldenGlobes nomination, read what Cate Blanchett told us about still getting starstruck: 
",positive
"Last tweet of the night\u002c reading will not lose to spurs tomorrow 
",positive
"Waking up at the butt crack of dawn to surprise your bff for her 18th birthday and having a party at IHOP is a good way to start offt he day 
",positive
"Line of the day: ""Rick Perry has the mental aptitude of two dogs in an overcoat"" 
",negative
"""Kanye West for president? Don't laugh, he may be the only one with a low info voter fan base who is narcissist enough to succeed The Donald"" 
",negative
"Going to the GRAMMYS First entertainment law breakfast here in NYC tomorrow! I\u2019m so excited. One step closer... 
",positive
"@scottmorrow don't do it!  He won't respect you!  RT @scottmorrow Boehner asks Obama to move speech to Thursday 
",negative
"""Just think some misguided girl is in the VIP tonight suckin dick & will wake up to 87,000 hits on WorldstarHipHop tomorrow  #BETHipHopAwards"" 
",negative
"Thursday just aren\u2019t as exciting now Waterloo Road has stopped 
",negative
"My suicide note would be the picture of Mark Martin that I kept in my wallet in 7th grade. 
",negative
"Love and Harden hitting the deck in pursuit of loose balls early 2nd Q. Proof this is NOT an NBA All-Star Game. 
",neutral
"The sad part about this is tomorrow Nicki will be the angry black woman who went after poor white girl Miley 
",negative
"The 1st Black woman to ever host the Academy Awards was=>@WhoopiGoldberg! I want to be like her! #BlackHistoryMoment 
",positive
"Some round by Paul Dunne at St Andrews. Shoot that tomorrow and he wins. #Ireland 
",positive
"""I really just tweet on Wednesday ,Thursday and Sunday because of Big Brother but other then that I don't tweet now."" 
",positive
"""You know it cost $900 to be in Miss Teen USA? I was like """"""""So... you want me to pay $900 to be in a pageant that I may or may not win?"""""""""" 
",negative
"We better trend HAPPY 16TH BIRTHDAY NICK J. That\u2019ll be so confusing for him when he gets on. xD 
",positive
"""Love or hate, Ryan Braun is playing some fantastic baseball as of late. @dmcneil may be out of it, but it's not because of him. #justsaying"" 
",positive
"It\u2019s Josh Bradley\u2019s birthday tomorrow. So what time is the party? LOL 
",positive
"""Just finished my 2nd Moments of Triumph on PS4, first being on Xbox One. Does that make me like... a super guardian? 
",positive
"Long drive too Kentucky tomorrow hopefully gonna get the big buck we caught on cam\u002c at least we got @nelsondanielle playing in the Chevy! <3 
",positive
"@zwallace @zwallace Now, now, some of them are coming over to support Bernie Sanders, because he makes sense, but then they may agree? 
",positive
"Prince George is having a helicopter themed 2nd birthday party. I wonder if Bronny will try to crash it. #royalparty #bronnygate #crash 
",neutral
"I dream of a world where not only is Hannibal in it 4th season but we're also looking forward to a Hannibal vs Dexter Halloween special lol 
",positive
"@mcbridejulia Thanks for taking the time to sign my hat on sunday. Wish you nothing but the best man! P.S. See you at Metlife this weekend! 
",positive
"I am listening to @hughesemma 's (with @hughesemma version of Bad Blood for the 11th time this night.Hope you come to Australia with pmj 
",positive
"@jamespayne woody are you going to do another mail monday with FPS Russia cause the last one was hilarious that was by far my fav#GENIUS 
",positive
"If Apple is upgrading the camera on the iPhone 6s models, I seriously may upgrade...&amp; my phone isn't even 1yr old yet! #photographyproblems. 
",positive
"To all my ladies going to MetLife tonight  - may you be lucky enough to have something insane happen at your show! Have so much fun! XOXO 
",positive
"hello fam I'm off work Friday sat &amp; sun so if there's a day all of us could get together all at the same time that would be gucci hmu 
",positive
"Good day for vids tomorrow. Stasis, Long Dark, Rebirth and Minecraft! 
",positive
"Tomorrow. 6 million Directioners will just cry and watch the video in silence. #LittleThings 
",negative
"Howard Webb will officiate the West Ham vs Manchester City game tomorrow.  <BJ> 
",neutral
"@lhall I hear you this Sunday morning, &amp; will just remind you that Christians throughout history have not always followed Christ."" 
",negative
"""Thompson, White Sox rally to edge Red Sox: Trayce Thompson was 3-for-4 with 3 RBI Tuesday night while li... #news"" 
",positive
"#usatoday First-place Mets may get their best hitter back: David Wright went 1-for-3 with ... #sports #sportsnews 
",positive
"Omg this show is so predictable even for the 3rd ep. Rui En\u2019s ex boyfriend was framed for murder probably\u002c by the rich guy. 
",negative
"@floreselizabeth I do believe Trayvon may be innocent or may not\u002c but I don\u2019t like it when people gin up mobs & hate even if they don\u2019t mean to. 
",negative
"Sarah G. Day on its 4th day! Wow! Eksaherada sa pag-trending!!! @randyedwards #GGV #vicepogi 
",positive
"World View: Israel and Hezbollah May Be Close to War Again - Barack sides with Iran/Palestine .#tcot .#ccot .#tgdn 
",negative
"I know I'm an asshole for what I'm about to say but I truly feel this way. I HOPE TOM BRADY HAS A SEASON ENDING INURY WITHIN THE 1ST 4 GAMES 
",negative
"dear @cynthiajones the newOoffice for Mac is great and all, but no Lync update? C'mon. 
",negative
"@jeffrey24 perfect ! Wednesday I'm done at 1150 . I'll be waiting . Can we go to IHOP one day ? 
",positive
"What's a better way to end off the August long than David Price's 8IP 11k's?  SCRUFFY MURPHY'S TRIVIA TONIGHT 9pm ;)  Gonna be a great show 
",positive
"Mdm. Oracle is back! See her again and the rest of SPIT this Saturday at Eastwood! 
",positive
"I wish I was 1/50th as enamored with Beyonce as you all are..... Just 1/20th even 
",positive
"Just tried to mix Nirvana with bass music and it sounded so bad I may have to retire. 
",negative
"Today was the last day of Disneyland's regular Space Mountain.  As of this Friday, it will be Space Mountain Ghost Galaxy. 
",positive
"-Tosses empty beer bottle through the sun roof of a parked Lexus and continues on my way- 
",negative
"@glassnathaniel  One Alanis Morissette  Sun is Shining Bob Marley Wake the Town URoy Reckoner Radiohead  Vibrate Outcast 
",positive
"I\u2019m going to Clutch at Buster\u2019s Billiards & Backroom in Lexington\u002c KY - Dec 28 
",neutral
"I just realized that I'm seeing Ed Sheeran in concert on Thursday. Yeah still don't believe it's that close @lopezalexander 
",positive
"Awe @martinboyd is retiring. 1st pro tennis match I ever watched live was Andy vs Feliciano under the lights in Indian Wells! #goodtimes 
",positive
"""Sons of Anarchy is arguable the most under appreciated show. You may think you're not into \""""motorcycle gangs~\"""" but this show is perfect."" 
",positive
"Wel looks like I'm going to the after party tomorrow with fetty wap Chris brown tyga etc thanks to my cuz 
",positive
"What agitates me is the dumb things Oracle does. Change behavior of program but don't change error checking. #FAIL 
",negative
"I missed the Barcelona game yesterday. 
",negative
"In the 27th Williams vs. Williams match, Serena saved her best for last: 
",positive
"So if the Premiership is called off on Saturday who is for Inbetweeners? 
",neutral
"@villanuevamonique we don't even have naruto tomorrow just khr, bleach, and op. the negatives outweigh the positives."" 
",negative
"Zayn reminds me of Rih. This may be blasphemous to say but I feel like he's about to be a male version of her which is good 
",positive
"""Should Paul Dunne of IRL finish the Open in 8th alone or better, he'll move to #1 in the SPWAR.  Same for Niebrugge if 5th alone or better."" 
",positive
"Rock legend Neil Young rightly attacking evil Monsanto @riveralarry @riveralarry So now he's banned from the BBC 
",negative
"@matthew86  can you play wah wah or bware of darkeness by george harrison tomorrow please :) 
",positive
"""83 Minutes"", major new book on the amazing life &amp; tragic death of Michael Jackson released on Sept 10. @qroberson @qroberson @qroberson 
",neutral
"Cliff Avril says he\u2019s feeling fine following the bye. Said he thought he would have played had the Lions had a game Sun. 
",positive
"@qyoung Rolling Stone : @qyoung  The clown car gets more crowded: Meet Jim Gilmore, the 17th Re... 
",neutral
"I know that the new Iron Maiden album is not out until Friday but it just keeps getting better! 
",positive
"""Colts defense should dominate the Bengals, and likewise offensively. Excited for Sunday! #ColtsNation #NFL 
",positive
"""Kanye West, 4th member of the new day. Kan-ye sucks."" 
",negative
"The Sun calls reactions to the Caitlyn Jenner costume a 'fan meltdown': [Paywall] 
",negative
"@caitlin81 According to media, it may or may not be bad if Kanye West did run for president.  We've had entertainers participate before."" 
",neutral
"Beyonce and future on stage together somewhere and all I see on the tl right now is yasssss! Come Thur bitch!!! 
",positive
"""Tokyo , Seoul , London , New York Kimama Ni Sekai wo drive tonight Kakuchi de hirou suru new style :)"" 
",neutral
"Buses in the White Hart Lane & High Road N17 area may be subject to diversion & delays due to Tottenham Hotspur match 
",negative
"Seattle's best Iron Maiden tribute band Maiden Seattle plays the Blue Moon on August 8th with Schudge and... 
",positive
"I got really excited for the cosplay cover of Thor tomorrow and then I remembered that Kevin is on issue 2 :/ 
",positive
"""Who was the idiot pundit on BBC Scotland on Saturday who """"couldn't see past Dustin Johnson"""" for The Open and why are they paying him?"" 
",negative
"I'm not sure what Rahul Gandhi is trying to accomplish with all of this 
",neutral
"@frankdavis in case you're curious, Andy Lee outscored all the nonQBs in my fantasy matchup. 2nd place: Moorman. 3rd: Larry Fitzgerald."" 
",positive
"""Hey, the 2nd worst baseball movie is on Reelz right now. #StomachBleeding"" 
",negative
"So Caitlyn Jenner may face man slaughter charges. He thought that the sex change would be easier for when she goes to prison 
",negative
"@fhawkins records Hulk Hogan's time in WCW tomorrow. And yes, the timing is a coincidence. 
",neutral
"""In case you were wondering, Caitlyn Jenner is responsible for the death of a woman in a car crash in February. How courageous is she now?"" 
",negative
"""I am still struggling in third place in the 14th and Beyonce, Lady Gaga, Fifth Harmony ?! we had to have them, that now everyone loves them?"" 
",negative
"@dana35 FRIDAY OCT 19th!!!! THE ALUMNI will be rocking Philly!!!!! FREE SHOW  @ the Liacouras Center 7pm CLASSIC HIP HOP! 
",positive
"Fans were in for quite the surprise at the FYF Festival in LA on Saturday. After Frank Ocean c... #HollywoodDivas 
",neutral
"Hello, BTLs.  Every single one of you consumes BBC content even indirectly.  Stop whining. 
",negative
